encoding_id	title	availability	coded_as	structure	num_members	descript
35	ACE-coding35	0	11	1	5	Artificial coding, generated after data collection
36	ACE-coding36	0	11	1	3	Artificial coding, generated after data collection
37	age-year exceptions	0	11	1	2	Coding for time unknown
39	Tumour behaviour	0	11	2	8	Tumour behaviour codings used by UK Cancer Registry
41	ICD addendum information	0	41	1	2	Addendum information for ICD9 and ICD10
42	Not-applicable	0	11	1	2	Single option of not-applicable for a numeric question
45	READ medical codes	0	41	1	6196	Please note that this encoding contains public sector information licensed under the Open Government License v3.0 <p> Anyone interested in mapping the READ codes to another coding system (e.g., ICD-10), then may find the TRUD website helpful: ~Ehttps://isd.digital.nhs.uk/~
47	Post-hoc coding 47	0	11	2	41	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
49	Post-hoc coding 49	0	11	2	15	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
50	Post-hoc coding 50	0	11	2	14	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
51	Post-hoc coding 51	0	11	2	11	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
54	Post-hoc coding 54	0	11	2	14	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
55	Quality control for carotid ultrasound QC	0	11	1	2	Pass/fail value for tests.
56	Post-hoc coding 56	0	11	2	14	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
59	Post-hoc coding 59	0	11	2	17	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
60	Post-hoc coding 60	0	11	2	11	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
71	Post-hoc coding 71	0	11	2	11	Artificial coding created post-hoc to characterise free-text reasons entered UKB assessments
73	Day of Week	0	11	1	7	Day of Week according to calendar
74	Supplement options	0	11	1	21	Supplement usage identified during 24-hour recall
75	Reasons for atypical diet	0	11	1	4	Reasons given for atypical diet yesterday
76	Type of special diet	0	11	1	6	Type of special diet being followed
77	Types of spread used on bread or crackers	0	11	1	37	Types of spread used on bread or crackers
78	Types of spreads, sauces, dips etc	0	11	1	19	Types of spreads, sauces, dips etc
79	Types of meals	0	11	1	5	Types of meals
80	Types of fat/oil used in cooking	0	11	1	44	Types of fat/oil used in cooking
81	Type of bread	0	11	1	5	Type/composition of bread
82	Size of wine glass drunk	0	11	1	3	Size/volume of wine glass drunk
83	Thickness of spreading butter/margarine	0	11	1	3	Thickness of spreading butter/margarine
84	Liquid used to make porridge	0	11	1	2	Liquid used to make porridge
85	Type of yogurt eaten	0	11	1	2	Type (fat content) of yogurt eaten
86	Ingredients in soup	0	11	1	6	Ingredients in soup
87	ICD9	0	41	2	13710	ICD9 - WHO International Classification of Diseases
89	Country (of birth)	0	11	2	201	Tree containing the countries that participants identified as being their birth place.
90	Status of activity	0	11	1	4	Present/past status of an activity
91	Urban/rural area definitions	0	11	1	17	Population density descriptions for UK areas.
92	Card faces used by touchscreen	0	11	1	25	Descriptions of the card faces displayed on the touchscreen at the UK Biobank centres during cognitive testing.
93	Accelerometer data quality	0	11	1	3	Indicates the perceived quality/usability of the accelerometer datafile.
96	Scale of liking	0	11	1	11	This scale was record the degree to which a participant liked a particular food, product or experience. Only the values 1, 5 and 9 were assigned explicit meanings - intermediate values should be interpreted as lying between these.
97	Unmatched case-controls	0	11	1	2	These values indicate participants who were previously part of a matched pair in a case-control grouping but who are no longer matched.
100	Pass/Fail test result	0	11	1	2	Results of a pass/fail test
101	Result of a pass/fail/not-tested test	0	11	1	3	Results of a pass/fail test with individuals who were explicitly not-tested indicated.
102	inclusion status	0	11	1	2	Whether a participant was included in a particular subset
103	Neurobiomarker sample QC	0	11	1	3	QC results for sample run through neurobiomarker tests.
110	Scottish COVID-19 test site local authorities	0	11	1	124	Scottish COVID-19 test site local authorities
111	Source of Scottish test result	0	11	1	8	Source of Scottish test result
112	Scottish COVID laboratory	0	41	1	18	Scottish COVID laboratory
114	Difficulty levels	0	11	1	7	Used to assign difficulty levels to a task.
123	UK Biobank staff	0	11	1	1252	This is a pseudonymised index of the UK Biobank staff who have had authority to sign-off individual-level records which are included in the UK Biobank core repository. UK Biobank will not publish or reveal the actual identiites of staff.
127	Common tasks	0	11	1	10	Household tasks requiring help.
135	Intervals	0	11	1	6	Intervals in roughly fortnight increments.
140	Myocardial strain estimation quality flag	0	11	1	4	Myocardial strain estimation quality flag values.
143	UniProt meaning for OLINK Protein ID	0	11	1	2923	Relates the integer Protein ID presented in the OLINK dataset to the UniProt meaning.
144	OLINK QC flag	0	11	1	3	Identifies the QC status of an individual OLINK measurement
149	Effect of problem	0	11	1	4	Describes the impact on personal activities of some factor.
150	HES coding for DETNCAT (Scotland)	0	11	1	5	HES coding for "Detention category" (Scotland)
151	HES coding for ADMISTAT (Scotland)	0	11	1	5	HES coding for "History of psychiatric care on admission" (Scotland)
155	Unified recoding for DETNCAT	0	11	1	8	Created by amalgamating members of ~C230~ and ~C150~
156	Unified recoding for ADMISTAT	0	11	1	7	Created by amalgamating members of ~C229~ and ~C151~
165	Assay correction level	0	11	1	3	Indicates the type of assay correct that was applied to a biochemistry result.
168	Days-in-week frequencies	0	11	1	5	Frequencies within a week expressed as approximate days
169	Blood haplotypes	0	41	1	6	Blood haplotypes
170	Map co-ordinates	0	11	1	1	Special map co-ordinates
171	Face recognition ability	0	11	1	7	Face recognition ability relative to average.
172	Face recognition frequency	0	11	1	6	Face recognition frequency
173	Visual imagery clarity	0	11	1	6	Visual imagery clarity
174	Autobiographical memory	0	11	1	6	Autobiographical memory
175	Senses	0	11	1	17	Senses affected by syaesthesia.
176	Types	0	11	1	5	Types experienced.
177	Decline	0	11	1	8	Magnitude of decline
178	Time before present	0	11	1	6	Time before present
179	Clarity of visualisation	0	11	1	12	Scale used to rate clarity of visualisation. Higher numbers mean clearer visualisation.
180	Autobiographical memory with not-applicable	0	11	1	6	This encoding is analagous to ~E174~ with a not-applicable option included for participants with insufficient vision to answer the question.
181	Decline with non-applicable option	0	11	1	8	This encoding is analagous to ~E177~ with a not-applicable option included for participants with insufficient vision to answer the question.
192	Difficulty levels, including NA option	0	11	1	8	Difficulty levels, including not-applicable option.
196	Result flags for sodium in urine assay	0	41	1	2	Result flags returned by sodium in urine assay when outside of device analytical range.
197	Result flags for potassium in urine assay	0	41	1	2	Result flags returned by potassium in urine assay when outside of device analytical range.
198	Result flags for microalbumin in urine assay	0	41	1	1	Result flags returned by microalbumin in urine assay when outside of device analytical range.
199	Result flags for (enzymatic) creatinine in urine assay	0	41	1	1	Result flags returned by (enzymatic) creatinine in urine assay when outside of device analytical range.
200	Urine analysis devices	0	41	1	1	Serial numbers for devices used in urine analysis.
201	HES coding for CATEGORY	0	11	1	14	HES coding for CATEGORY
202	HES coding for ADMIMETH	0	41	1	22	HES coding for ADMIMETH<p>It is included as part of ~C264~.
203	HES coding for ADMISORC	0	41	1	27	HES coding for ADMISORC<p>It is included as part of ~C265~.
204	HES coding for FIRSTREG	0	11	1	4	HES coding for FIRSTREG
205	HES coding for DISDEST	0	41	1	27	HES coding for DISDEST<p>It is included as part of ~C267~.
206	HES coding for DISMETH	0	41	1	9	HES coding for DISMETH<p>It is included as part of ~C268~.
207	HES coding for OPERSTAT	0	11	1	3	HES coding for OPERSTAT
208	HES coding for CLASSPAT	0	41	1	7	HES coding for CLASSPAT<p>It is included as part of ~C266~.
209	HES coding for INTMANAG	0	41	1	7	HES coding for INTMANAG<p>It is included as part of ~C271~.
210	HES coding for MAINSPEF	0	41	1	92	HES coding for MAINSPEF<p>It is included as part of ~C270~.
211	HES coding for TRETSPEF	0	41	1	201	HES coding for TRETSPEF<p>It is included as part of ~C269~.
212	HES coding for DELPREAN and DELPOSAN	0	11	1	9	HES coding for DELPREAN and DELPOSAN
213	HES coding for BIRORDR	0	41	1	10	HES coding for BIRORDR
214	HES coding for BIRWEIT	0	11	1	2	HES coding for BIRWEIT
215	HES coding for DELCHANG	0	11	1	8	HES coding for DELCHANG
216	HES coding for DELMETH	0	41	1	11	HES coding for DELMETH
217	HES coding for DELPLAC and DELINTEN	0	11	1	10	HES coding for DELPLAC and DELINTEN
218	HES coding for GESTAT	0	11	1	1	HES coding for GESTAT
219	HES coding for BIRSTAT	0	11	1	5	HES coding for BIRSTAT
220	HES coding for DELONSET	0	11	1	7	HES coding for DELONSET
221	HES coding for NUMBABY	0	41	1	8	HES coding for NUMBABY
222	HES coding for NUMPREG	0	11	1	1	HES coding for NUMPREG
223	HES coding for BIRESUS	0	11	1	8	HES coding for BIRESUS
224	HES coding for SEXBABY	0	11	1	5	HES coding for SEXBABY
225	HES coding for DELSTAT	0	11	1	5	HES coding for DELSTAT
226	HES coding for NEOCARE	0	11	1	6	HES coding for NEOCARE
227	HES coding for CARERSI	0	11	1	3	HES coding for CARERSI
228	HES coding for MENTCAT	0	11	1	7	HES coding for MENTCAT
229	HES coding for ADMISTAT	0	11	1	5	HES coding for ADMISTAT
230	HES coding for DETNCAT	0	11	1	4	HES coding for DETNCAT
231	HES coding for LEGLSTAT	0	11	1	29	HES coding for LEGLSTAT
234	HES coding for SPELBEGIN	0	11	1	3	HES coding for SPELBEGIN
235	HES coding for SPELEND	0	41	1	2	HES coding for SPELEND
236	HES coding for EPIORDER	0	11	1	2	HES coding for EPIORDER
237	HES coding for EPISTAT	0	11	1	3	HES coding for EPISTAT
238	HES coding for EPITYPE	0	11	1	6	HES coding for EPITYPE
239	HES coding for PCTCODE and GPPRPCT	0	41	1	417	HES coding for PCTCODE and GPPRPCT
240	OPCS4 operation codes	0	41	2	11288	OPCS4 codes used to specify medical procedures and operations in Health Episode Statistics records<p>The OPCS Classification of Interventions and Procedures, codes, terms and text is Crown copyright (2016) published by Health and Social Care Information Centre, also known as NHS Digital and licensed under the Open Government Licence available at www.nationalarchives.gov.uk/doc/open-government-licence/open-government-licence.htm.
241	SMR1b coding for ADMIMETH	0	41	1	22	SMR1b coding for ADMIMETH<p>It is included as part of ~C264~.
242	SMR1a coding for ADMIMETH	0	41	1	9	SMR1a coding for ADMIMETH<p>It is included as part of ~C264~.
243	SMR1b coding for ADMISORC	0	41	1	64	SMR1b coding for ADMISORC<p>It is included as part of ~C265~.
244	SMR1a coding for ADMISORC	0	41	1	4	SMR1a coding for ADMISORC<p>It is included as part of ~C265~.
245	SMR1b coding for CLASSPAT	0	41	1	8	SMR1b coding for CLASSPAT<p>It is included as part of ~C266~.
246	SMR1a coding for CLASSPAT	0	41	1	6	SMR1a coding for CLASSPAT<p>It is included as part of ~C266~.
247	SMR coding for DISDEST	0	41	1	66	SMR1a and SMR1b coding for DISDEST<p>It is included as part of ~C267~.
248	SMR1b coding for DISMETH	0	41	1	19	SMR1b coding for DISMETH<p>It is included as part of ~C268~.
249	SMR1a coding for DISMETH	0	41	1	9	SMR1a coding for DISMETH<p>It is included as part of ~C268~.
250	SMR1b coding for TRETSPEF	0	41	1	65	SMR1b coding for TRETSPEF<p>It is included as part of ~C269~.
251	SMR1a coding for TRETSPEF	0	41	1	44	SMR1a coding for TRETSPEF<p>It is included as part of ~C269~.
252	PEDW coding for ADMIMETH	0	41	1	20	PEDW coding for ADMIMETH<p>It is included as part of ~C264~.
253	PEDW coding for ADMISORC	0	41	1	25	PEDW coding for ADMISORC<p>It is included as part of ~C265~.
254	PEDW coding for CLASSPAT	0	41	1	6	PEDW coding for CLASSPAT<p>It is included as part of ~C266~.
255	PEDW coding for DISDEST	0	41	1	25	PEDW coding for DISDEST<p>It is included as part of ~C267~.
256	PEDW coding for DISMETH	0	41	1	7	PEDW coding for DISMETH<p>It is included as part of ~C268~.
257	PEDW coding for TRETSPEF	0	41	1	174	PEDW coding for TRETSPEF<p>It is included as part of ~C269~.
258	PEDW coding for MAINSPEF	0	41	1	94	PEDW coding for MAINSPEF<p>It is included as part of ~C270~.
259	OPCS3 operation codes	0	41	2	1902	OPCS3 codes used to specify medical procedures and operations in Health Episode Statistics records.<p>The OPCS Classification of Interventions and Procedures, codes, terms and text is Crown copyright (2016) published by Health and Social Care Information Centre, also known as NHS Digital and licensed under the Open Government Licence available at www.nationalarchives.gov.uk/doc/open-government-licence/open-government-licence.htm.
260	PEDW coding for INTMANAG	0	41	1	7	PEDW coding for INTMANAG<p>It is included as part of ~C271~.
261	Death information source	0	11	1	7	Death information is derived from a variety of registries. This encoding identifies the source of particular records.
262	Cancer information source	0	11	1	8	Cancer information is derived from a variety of registries. This encoding identifies the source of particular records.
263	HES information source	0	11	1	18	Health episode statistics information is derived from a variety of registries. This encoding identifies the source of particular records.
264	Unified recoding for ADMIMETH	0	11	2	42	Created by amalgamating members of ~C202~, ~C241~, ~C242~ and ~C252~.
265	Unified recoding for ADMISORC	0	11	2	51	Created by amalgamating members of ~C203~, ~C243~, ~C244~ and ~C253~.
266	Unified recoding for CLASSPAT	0	11	2	13	Created by amalgamating members of ~C208~, ~C245~, ~C246~ and ~C254~.
267	Unified recoding for DISDEST	0	11	2	52	Created by amalgamating members of ~C205~, ~C247~ and ~C255~.
268	Unified recoding for DISMETH	0	11	2	19	Created by amalgamating members of ~C206~, ~C248~, ~C249~ and ~C256~.
269	Unified recoding for TRETSPEF	0	11	1	211	Created by amalgamating members of ~C211~, ~C250~, ~C251~ and ~C257~.
270	Unified recoding for MAINSPEF	0	11	1	96	Created by amalgamating members of ~C210~ and ~C258~.
271	Unified recoding for INTMANAG	0	11	1	7	Created by amalgamating members of ~C209~ and ~C260~.
272	Outcome date flags	0	51	1	1	Special date values used to indicate imprecise or unknown data
275	Protocol	0	11	1	2	Protcol used to acquire image.
300	Source of outcome report	0	11	1	7	Details the sources of data used to create adjudicated health outcomes.
305	Reason for assay correction level	0	11	1	5	Records the reason that a particular correction level was applied to an aliquot measurement.
339	Degree bothered	0	11	1	4	Degree of botheredness
400	Abdominal MRI image quality	0	11	1	9	Abdominal MRI image quality indicator
401	Thigh measurement error	0	11	1	4	Thigh measurement error indicator
402	Test status	0	11	1	1	Indicates that a test was abandoned
403	Abdominal VAT/ASAT error	0	11	1	2	Abdominal VAT/ASAT error indicator
408	Pain level	0	11	1	12	Pain level scored from 0 to 10.
439	Not performed	0	61	1	1	Denotes occasions on which there is not a valid time-stamp because the corresponding action was not performed.
470	Measurement method for automated-only devices	0	11	1	3	Measurement method, or reason for non-performance, for automated-only devices
479	Completion status with timeout	0	11	1	3	Whether a test was completed by a participant, abandoned part-way through or timed-out.
480	Device used to enter online occupational questionnaire	0	11	1	7	List of input device types.
485	Invalid timing flag	0	11	1	1	Due to system problems the Javascript being executed on participants own devices occasionally returned an invalid interval when timing some of the cognitive tests. This coding is used to indicate the values where this occurred.
486	gapcoding	0	11	1	10	Codes for activity during periods other than full time work.
487	period over a month	0	11	1	1	Option used to indicate a time period was over a month long
488	shorter than a year	0	31	1	1	Indicates a period of less than a year
489	shiftwork state	0	11	1	3	Used to indicate type-of-shiftwork question was not asked
490	Lung disease conditions	0	11	1	16	Lung disease conditions potentially associated with environmental exposures during work
491	Pattern of shiftwork	0	11	1	3	Patterns of shiftwork
492	Shift working patterns	0	11	1	1024	Types of shift working patterns
493	Occupational exposure choices	0	11	1	4	Grades of workplace exposure to various potential irritants.
494	Lumped hours worked	0	11	1	4	Categories grouping together time periods
496	Tobacco smoking	0	11	1	5	Options for tobacco smoking behaviour
497	Job occupation groupings used for online work questionnaire	0	11	2	995	Participants were asked to self-code their job by making successive choices from this three-level tree.
498	Completion status	0	11	1	2	Whether a test was completed by a participant or abandoned part-way through.
499	Position within pattern	0	11	1	8	This field indicates the position of a particular symbol within the pattern displayed
500	Pattern dictionary used for symbol digit test	0	11	1	34	The symbol digit test contained 33 distinct orderings which could be presented to participants. This coding shows the pattern presented so that (e.g.) if ~F20198~ has the value 7 then the order of the symbols shown would have been [1,4,5,6,0,7,2,3].
502	TAF answer-set 502	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
503	TAF answer-set 503	0	11	1	3	Multiple choice answers from Thoughts and Feelings questionnaire
504	TAF answer-set 504	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
505	TAF answer-set 505	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
506	TAF answer-set 506	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
507	TAF answer-set 507	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
508	TAF answer-set 508	0	11	1	2	Multiple choice answers from Thoughts and Feelings questionnaire
509	TAF answer-set 509	0	11	1	7	Multiple choice answers from Thoughts and Feelings questionnaire
510	TAF answer-set 510	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
511	TAF answer-set 511	0	11	1	2	Multiple choice answers from Thoughts and Feelings questionnaire
513	TAF answer-set 513	0	11	1	2	Multiple choice answers from Thoughts and Feelings questionnaire
514	TAF answer-set 514	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
515	TAF answer-set 515	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
516	TAF answer-set 516	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
517	TAF answer-set 517	0	11	1	1	Multiple choice answers from Thoughts and Feelings questionnaire
518	TAF answer-set 518	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
519	TAF answer-set 519	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
520	TAF answer-set 520	0	11	1	3	Multiple choice answers from Thoughts and Feelings questionnaire
521	TAF answer-set 521	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
522	TAF answer-set 522	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
523	TAF answer-set 523	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
524	TAF answer-set 524	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
525	TAF answer-set 525	0	11	1	2	Multiple choice answers from Thoughts and Feelings questionnaire
526	TAF answer-set 526	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
527	TAF answer-set 527	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
528	TAF answer-set 528	0	11	1	3	Multiple choice answers from Thoughts and Feelings questionnaire
529	TAF answer-set 529	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
530	TAF answer-set 530	0	11	1	3	Multiple choice answers from Thoughts and Feelings questionnaire
531	TAF answer-set 531	0	11	1	7	Multiple choice answers from Thoughts and Feelings questionnaire
532	TAF answer-set 532	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
533	TAF answer-set 533	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
534	TAF answer-set 534	0	11	1	6	Multiple choice answers from Thoughts and Feelings questionnaire
535	TAF answer-set 535	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
536	TAF answer-set 536	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
537	TAF answer-set 537	0	11	1	8	Multiple choice answers from Thoughts and Feelings questionnaire
538	TAF answer-set 538	0	11	1	7	Multiple choice answers from Thoughts and Feelings questionnaire
548	Level of interference	0	11	1	12	Level of interference out of 10
551	TAF answer-set 551	0	11	1	10	Multiple choice answers from Thoughts and Feelings questionnaire
552	TAF answer-set 552	0	11	1	10	Multiple choice answers from Thoughts and Feelings questionnaire
555	TAF answer-set 555	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
556	TAF answer-set 556	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
557	TAF answer-set 557	0	11	1	10	Multiple choice answers from Thoughts and Feelings questionnaire
562	TAF answer-set 562	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
563	TAF answer-set 563	0	11	1	4	Multiple choice answers from Thoughts and Feelings questionnaire
564	TAF answer-set 564	0	11	1	5	Multiple choice answers from Thoughts and Feelings questionnaire
565	TAF answer-set 565	0	11	1	3	Multiple choice answers from Thoughts and Feelings questionnaire
572	TAF answer-set 572	0	11	1	7	Multiple choice answers from Thoughts and Feelings questionnaire
573	TAF answer-set 573	0	11	1	7	Multiple choice answers from Thoughts and Feelings questionnaire
584	Prefer not to answer	0	11	1	1	Prefer not to answer scalar question
586	Special undetermined dates	0	51	1	3	Used to indicate uncertainty in dates when work given up.
592	Marker for pending data	0	41	1	1	This interim value indicates that the underlying data is still undergoing some sort of processing.
603	COVID-19 antibody study result	0	11	1	3	The results from the self-administered lateral flow devices for detecting COVID-19 antibodies.
605	Dietary food group	0	11	1	94	Groups nutrients by food
609	Mapping of self-reported medical conditions to 3-character ICD10	0	11	1	334	Mapping of self-reported medical conditions to 3-character ICD10
616	Happiness level	0	11	1	12	Happiness level on 10 point scale
620	Distension	0	11	1	12	Levels of distension
626	GP data provider	0	11	1	4	Data provider for GP information
634	Status with uncertain option	0	11	1	3	Status with uncertain option to allow for cases where situation cannot be resolved on available evidence.
656	Error indicator codes	0	11	1	7	Codes used to indicate different types of error.
682	Kinship level	0	11	1	4	Indicates the level of genetic kinship an individual appears to have to other participants
691	Date responses	0	51	1	2	Response to questions where actual-date answer is not given
701	Aids to questionnaire entry	0	11	1	6	This encoding itemises the aids that participants have indicated they use to assist in reading, understanding and answering each online questionaire.
744	Antibiotics	0	11	1	1025	List used by UKB assessment centre nurses to code antibiotic treatments. This is a subset of ~C4~.
777	Weekday after Monday	0	11	1	7	Day of week, encoded with Monday=0.
778	Brain MRI acquisition protocol	0	11	1	5	As the imaging clinic progressed, particularly during the early pilot stage, the image acquistion protocols were modified to improve the results. This coding is used to flag the version of the protocol used on particular participants.
779	Document status	0	11	1	4	Status of an electronic/paper document resource
782	Reasons for lack of a measurement	0	11	1	8	Reasons for lack of a measurement due to processing or other circumstances.
783	COVID-19 lateral flow device	0	11	1	2	The type of lateral flow test device that was used to detect antibodies against the SARS-CoV spike protein.
790	Completion status with no-data indicator	0	11	1	2	Indicates whether a test ran to the point of returning data or was terminated before that points for some reason (e.g. internet connectivity loss, user cancellation, device failure).
800	INFO_T1_unusable	0	11	1	1024	INFO_T1_unusable
801	INFO_T1_imperfect	0	11	1	4	INFO_T1_imperfect
802	INFO_T2_FLAIR_unusable	0	11	1	6	INFO_T2_FLAIR_unusable
803	INFO_T2_FLAIR_imperfect	0	11	1	1	INFO_T2_FLAIR_imperfect
804	INFO_SWI_unusable	0	11	1	7	INFO_SWI_unusable
805	INFO_SWI_imperfect	0	11	1	1	INFO_SWI_imperfect
806	INFO_rfMRI_unusable	0	11	1	8	INFO_rfMRI_unusable
807	INFO_rfMRI_imperfect	0	11	1	1	INFO_rfMRI_imperfect
808	INFO_tfMRI_unusable	0	11	1	8	INFO_tfMRI_unusable
809	INFO_tfMRI_imperfect	0	11	1	1	INFO_tfMRI_imperfect
810	INFO_dMRI_unusable	0	11	1	8	INFO_dMRI_unusable
811	INFO_dMRI_imperfect	0	11	1	1	INFO_dMRI_imperfect
819	lumped event dates	0	51	1	6	Pseudo dates used to rebadge erroneous and/or sensitive information.
831	Prominence of cause of death	0	11	1	2	Distinguishes between main and other causes of death
871	Frequency within week/month	0	11	1	8	How often an action is carried out
909	Measurement not returned	0	31	1	1	Used to indicate that an ultrasound measurement was not possible.
913	Days with pain	0	11	1	12	Days with pain in last 10 day period
925	HES operations level	0	11	1	2	Differentiates between main and other operations
926	HES diagnosis level	0	11	1	3	Distinguishes between types of diagnosis
946	Cigarette smoking amount	0	11	1	3	Non-numeric options for cigarette smoking
947	Reason for exclusion from genetic relatedness calculation	0	11	1	2	This coding gives the reason that some participants were excluded from calculations estimating the degree of genetic relatedness between persons in the dataset.
950	Frequency of effects	0	11	1	6	Graduated frequency of effects.
957	Working status	0	11	1	3	Explanation of non-working status
1001	initial ethnic background tree	0	11	2	22	ethnic background
1002	Ethnic Grouping	0	11	1	1	Nearest ethnicity as indicated by genotype.
1003	Cancer (re-typed)	0	41	2	88	Tree-structured list used by clinic nurses to code cancers - this is derived from encoding=3 with coded_as type changed.
1004	Treatments (re-typed)	0	41	1	6745	List used by clinic nurses to code medical treatments - this is derived from encoding=4 with coded_as type changed.
1005	Operation (re-typed)	0	41	2	270	Tree-structured list used by clinic nurses to code operations - this is derived from encoding=5 with coded_as type changed.
1006	Non-cancer Illness (re-typed)	0	41	2	479	Tree-structured list used by clinic nurses to code non-cancer illness - this is derived from encoding=6 with coded_as type changed.
1007	Email access status	0	11	1	2	desc
1010	Illnesses, touchscreen self-entry	0	11	1	19	Amalgamation of Group 1+2 answers for illnesses
1018	Botheredness	0	11	1	5	Amount that person is bothered by something. Not-applicable meaning that the something doesn't occur.
1021	Yes/No/NA	0	11	1	3	Yes/No choice
1022	Yes/No/NA/PNA	0	11	1	4	Yes/No choice with option of not-applicable.
1101	Genomic data problems	0	11	1	1	Itemizes problems encountered processing genomic data.
1176	EMIS clinical unit coding	0	41	1	6	Special codes used to redact value units associated with EMIS GP clinical codes.
1180	Water hardness level	0	11	1	4	Water hardness level
1181	Water hardness	0	11	1	2	Water hardness
1182	Water hardness data origin	0	11	1	2	Origin of mineralisation data
